date,entry_time,direction,model,grade,score,entry,sl,tp,current_sl,risk_pts,breakeven_moved,bars_held,qty,exit_price,reason,pts,pnl,exit_time
2026-05-07,09:20,BUY,Judas Swing Model,A+,86,24335.35,24295.56,24414.93,24335.35,39.789999999997235,True,6,50,24335.35,BREAKEVEN,0.0,0.0,09:50
2026-05-07,14:50,BUY,Unicorn Model,A,81,24348.2,24302.19,24440.22,24302.19,46.01000000000204,False,4,50,24302.19,SL,-46.01000000000204,-2300.5,15:10
2026-05-08,09:20,SELL,Judas Swing Model,A+,91,24215.0,24259.57,24125.86,24215.0,44.56999999999971,True,5,50,24168.55,NEAR_TP,46.45000000000073,2322.5,09:45
2026-05-11,09:20,BUY,Judas Swing Model,A+,86,23937.45,23889.37,24033.61,23889.37,48.080000000001746,False,3,50,23889.37,SL,-48.080000000001746,-2404.0,09:35
2026-05-13,09:50,BUY,Judas Swing Model,A,81,23367.6,23255.57,23591.66,23367.6,112.02999999999884,True,38,50,23559.35,NEAR_TP,191.75,9587.5,13:00
2026-05-14,09:25,SELL,Judas Swing Model,A+,86,23581.3,23594.58,23554.74,23581.3,13.280000000002474,True,2,50,23554.74,TP,26.55999999999767,1328.0,09:35
2026-05-14,10:05,BUY,Silver Bullet Model,A,80,23484.95,23397.53,23659.79,23484.95,87.42000000000189,True,19,50,23659.79,TP,174.84000000000015,8742.0,11:40
2026-05-15,09:30,SELL,Judas Swing Model,A,76,23749.6,23802.35,23644.1,23802.35,52.75,False,2,50,23802.35,SL,-52.75,-2637.5,09:40
2026-05-18,09:25,BUY,Judas Swing Model,A,83,23373.1,23356.34,23406.62,23373.1,16.7599999999984,True,2,50,23373.1,BREAKEVEN,0.0,0.0,09:35
2026-05-18,13:45,BUY,Turtle Soup Model (PDL),A+,92,23624.45,23599.99,23673.37,23624.45,24.459999999999127,True,4,50,23624.45,BREAKEVEN,0.0,0.0,14:05
2026-05-19,09:30,SELL,Judas Swing Model,A,76,23684.0,23774.51,23502.98,23774.51,90.5099999999984,False,15,50,23774.51,SL,-90.5099999999984,-4525.5,10:45
2026-05-20,09:40,BUY,Silver Bullet Model,A,80,23524.25,23462.94,23646.87,23524.25,61.31000000000131,True,26,50,23626.9,NEAR_TP,102.65000000000146,5132.5,11:50
2026-05-21,09:20,BUY,Judas Swing Model,A+,91,23775.05,23747.21,23830.73,23747.21,27.840000000000146,False,2,50,23747.21,SL,-27.840000000000146,-1392.0,09:30
2026-05-21,13:45,SELL,Turtle Soup Model (PDH),A+,87,23665.15,23695.61,23604.23,23695.61,30.459999999999127,False,11,50,23695.61,SL,-30.459999999999127,-1523.0,14:40
2026-05-22,10:25,SELL,Unicorn Model,A+,91,23761.45,23792.92,23698.51,23792.92,31.469999999997526,False,3,50,23792.92,SL,-31.469999999997526,-1573.5,10:40
2026-05-25,09:20,SELL,Judas Swing Model,A+,91,23978.3,23992.47,23949.96,23978.3,14.170000000001892,True,3,50,23949.96,TP,28.340000000000146,1417.0,09:35
2026-05-25,13:45,SELL,2022 Model,A,81,23971.35,23992.47,23929.11,23992.47,21.12000000000262,False,10,50,23992.47,SL,-21.12000000000262,-1056.0,14:35
2026-05-26,09:20,SELL,Judas Swing Model,A+,91,24020.6,24029.36,24003.08,24029.36,8.760000000002037,False,1,50,24029.36,SL,-8.760000000002037,-438.0,09:25
2026-05-26,09:50,SELL,Turtle Soup Model (PDH),A,84,24035.9,24060.73,23986.24,24060.73,24.82999999999811,False,4,50,24060.73,SL,-24.82999999999811,-1241.5,10:10
2026-05-26,14:10,BUY,Turtle Soup Model (PDL),A+,87,23924.2,23906.79,23959.02,23906.79,17.409999999999854,False,5,50,23906.79,SL,-17.409999999999854,-870.5,14:35
2026-05-27,09:20,SELL,Judas Swing Model,A+,86,23933.7,23953.79,23893.52,23933.7,20.090000000000146,True,2,50,23893.52,TP,40.18000000000029,2009.0,09:30
2026-05-27,09:45,BUY,Turtle Soup Model (PDL),A+,87,23890.45,23867.24,23936.87,23867.24,23.209999999999127,False,4,50,23936.87,TP,46.419999999998254,2321.0,10:05
2026-05-29,09:30,BUY,Unicorn Model,A,82,23898.1,23877.95,23938.4,23898.1,20.149999999997817,True,1,50,23922.65,NEAR_TP,24.55000000000291,1227.5,09:35
2026-05-29,09:35,BUY,Judas Swing Model,A,81,23922.65,23881.21,24005.53,23881.21,41.44000000000233,False,1,50,23881.21,SL,-41.44000000000233,-2072.0,09:40
